© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Date	Wed Nov 22 07:55:53 PST 2017
Analysis ID	15713973

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	-0E00	NaN	2.29E-02	FOS,TUBA1A,MRAS	
3-phosphoinositide Biosynthesis	-0E00	NaN	3.00E-02	PTPRM,DUSP1,PPP1R1C,PTPN22,NUDT12,PXYLP1	
AMPK Signaling	-0E00	NaN	2.31E-02	AK9,AK7,MRAS,AK5,CPT1B	
ATM Signaling	-0E00	NaN	1.02E-02	GADD45A,	
Actin Cytoskeleton Signaling	-0E00	NaN	1.76E-02	EGF,ARHGEF6,GSN,MRAS	
Aldosterone Signaling in Epithelial Cells	-0E00	NaN	2.38E-02	DUSP1,NR3C2,ITPR1,DNAJB9	
Allograft Rejection Signaling	-0E00	NaN	2.38E-02	B2M,FAS	
Amyotrophic Lateral Sclerosis Signaling	-0E00	NaN	2.70E-02	VEGFA,CASP1,HECW1	
Androgen Signaling	-0E00	NaN	1.80E-02	MRAS,GNG2	
Angiopoietin Signaling	-0E00	NaN	2.56E-02	MRAS,ANGPT1	
Antigen Presentation Pathway	-0E00	NaN	2.63E-02	B2M,	
Antioxidant Action of Vitamin C	-0E00	NaN	2.78E-02	PNPLA3,SLC2A3,PLA2R1	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	NaN	2.63E-02	MRAS,GNG2	
