© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Date	Wed Nov 22 07:59:42 PST 2017
Analysis ID	15714034

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	NaN	1.59E-02	CHUK,	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	5.24E-03	CCL2,	
Allograft Rejection Signaling	-0E00	NaN	1.19E-02	HLA-DQA1,	
Antigen Presentation Pathway	-0E00	NaN	2.63E-02	HLA-DQA1,	
Atherosclerosis Signaling	-0E00	NaN	7.87E-03	CCL2,	
Autoimmune Thyroid Disease Signaling	-0E00	NaN	2.13E-02	HLA-DQA1,	
Cancer Drug Resistance By Drug Efflux	-0E00	NaN	2.04E-02	MAPK1,	
Chondroitin Sulfate Biosynthesis	-0E00	NaN	1.75E-02	NDST3,	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	NaN	2.04E-02	NDST3,	
Communication between Innate and Adaptive Immune Cells	-0E00	NaN	1.06E-02	TLR4,	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	NaN	1.12E-02	TLR4,	
Dermatan Sulfate Biosynthesis	-0E00	NaN	1.69E-02	NDST3,	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	2.17E-02	NDST3,	
Endothelin-1 Signaling	-0E00	NaN	2.63E-02	PRKCA,PTPN11,ADCY7,MAPK1,SOS1	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	2.17E-02	CCNE2,PRKCA	
Graft-versus-Host Disease Signaling	-0E00	NaN	2.08E-02	HLA-DQA1,	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	5.59E-03	CCL2,	
HIF1α Signaling	-0E00	NaN	2.54E-02	PTPN11,EP300,MAPK1	
Heparan Sulfate Biosynthesis	-0E00	NaN	1.22E-02	NDST3,	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	1.33E-02	NDST3,	
Human Embryonic Stem Cell Pluripotency	-0E00	NaN	2.10E-02	INHBA,PDPK1,PTPN11	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	NaN	1.35E-02	TLR4,PPARGC1B,NDST3	
LXR/RXR Activation	-0E00	NaN	1.65E-02	TLR4,CCL2	
Macropinocytosis Signaling	-0E00	NaN	2.47E-02	PRKCA,PTPN11	
Mitochondrial Dysfunction	-0E00	NaN	5.85E-03	BCL2,	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	NaN	2.52E-02	PRKAR2B,NFYA,PRKAR2A	
Nicotine Degradation II	-0E00	NaN	1.56E-02	AOX1,	
Nicotine Degradation III	-0E00	NaN	1.82E-02	AOX1,	
Notch Signaling	-0E00	NaN	2.63E-02	MAML1,	
OX40 Signaling Pathway	-0E00	NaN	2.20E-02	HLA-DQA1,BCL2	
Osteoarthritis Pathway	-0E00	NaN	1.90E-02	TLR4,CHUK,OCRL,EP300	
PCP pathway	-0E00	NaN	1.64E-02	ROCK2,	
Phagosome Formation	-0E00	NaN	2.31E-02	TLR4,PRKCA,PTPN11	
Phagosome Maturation	-0E00	NaN	6.76E-03	CYBB,	
Reelin Signaling in Neurons	-0E00	NaN	2.17E-02	CDK5R1,PTPN11	
Regulation of Actin-based Motility by Rho	-0E00	NaN	1.11E-02	ACTR2,	
Retinoic acid Mediated Apoptosis Signaling	-0E00	NaN	1.61E-02	APAF1,	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00	NaN	2.33E-02	CCL2,	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	-0E00	NaN	2.53E-02	PTPN11,MAPK1	
SAPK/JNK Signaling	-0E00	NaN	1.92E-02	PTPN11,SOS1	
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00	NaN	2.25E-02	PRKAR2B,SORBS1,MAPK1,PRKAR2A	
Sirtuin Signaling Pathway	-0E00	NaN	1.03E-02	MAPK1,NBN,GLS	
Sphingosine-1-phosphate Signaling	-0E00	NaN	2.40E-02	PTPN11,ADCY7,MAPK1	
Systemic Lupus Erythematosus Signaling	-0E00	NaN	2.67E-02	PRPF38B,PTPN11,MAPK1,CAMK4,CBL,SOS1	
T Helper Cell Differentiation	-0E00	NaN	1.37E-02	HLA-DQA1,	
Th2 Pathway	-0E00	NaN	2.67E-02	JAK2,HLA-DQA1,PTPN11,JAK1	
Thyroid Cancer Signaling	-0E00	NaN	2.50E-02	MAPK1,	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	NaN	2.38E-02	DIO2,	
Tight Junction Signaling	-0E00	NaN	2.40E-02	PRKAR2B,PPP2R3A,PPP2R2C,PRKAR2A	
Unfolded protein response	-0E00	NaN	1.82E-02	BCL2,	
Wnt/β-catenin Signaling	-0E00	NaN	2.33E-02	APPL1,EP300,PPP2R3A,PPP2R2C	
autophagy	-0E00	NaN	1.61E-02	BCL2,	
